Age,workclass,fnlwgt,education,education-num,marital-status,Occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,gincome
39,Government,77516,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Male,2174,0,40,US,<=50K
50,self-employed,83311,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,13,US,<=50K
38,Private,215646,HS-grad,9,Divorced,Handlers-cleaners,Not-in-family,White,Male,0,0,40,US,<=50K
53,Private,234721,HS-grad,7,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,0,0,40,US,<=50K
28,Private,338409,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,Black,Female,0,0,40,Cuba,<=50K
37,Private,284582,Masters,14,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,40,US,<=50K
49,Private,160187,HS-grad,5,Married-spouse-absent,Other-service,Not-in-family,Black,Female,0,0,16,Jamaica,<=50K
52,self-employed,209642,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,US,>50K
31,Private,45781,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,14084,0,50,US,>50K
42,Private,159449,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,5178,0,40,US,>50K
37,Private,280464,Bachelors,10,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,0,80,US,>50K
30,Government,141297,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,0,40,India,>50K
23,Private,122272,Bachelors,13,Never-married,Adm-clerical,Own-child,White,Female,0,0,30,US,<=50K
32,Private,205019,Bachelors,12,Never-married,Sales,Not-in-family,Black,Male,0,0,50,US,<=50K
34,Private,245487,HS-grad,4,Married-civ-spouse,Transport-moving,Husband,Amer-Indian-Eskimo,Male,0,0,45,Mexico,<=50K
25,self-employed,176756,HS-grad,9,Never-married,Farming-fishing,Own-child,White,Male,0,0,35,US,<=50K
32,Private,186824,HS-grad,9,Never-married,Machine-op-inspct,Unmarried,White,Male,0,0,40,US,<=50K
38,Private,28887,HS-grad,7,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,US,<=50K
43,self-employed,292175,Masters,14,Divorced,Exec-managerial,Unmarried,White,Female,0,0,45,US,>50K
40,Private,193524,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,60,US,>50K
54,Private,302146,HS-grad,9,Separated,Other-service,Unmarried,Black,Female,0,0,20,US,<=50K
35,Government,76845,HS-grad,5,Married-civ-spouse,Farming-fishing,Husband,Black,Male,0,0,40,US,<=50K
43,Private,117037,HS-grad,7,Married-civ-spouse,Transport-moving,Husband,White,Male,0,2042,40,US,<=50K
59,Private,109015,HS-grad,9,Divorced,Tech-support,Unmarried,White,Female,0,0,40,US,<=50K
56,Government,216851,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,US,>50K
19,Private,168294,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,0,0,40,US,<=50K
39,Private,367260,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,80,US,<=50K
49,Private,193366,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,US,<=50K
23,Government,190709,Bachelors,12,Never-married,Protective-serv,Not-in-family,White,Male,0,0,52,US,<=50K
20,Private,266015,Bachelors,10,Never-married,Sales,Own-child,Black,Male,0,0,44,US,<=50K
