Age,workclass,fnlwgt,education,education-num,marital-status,Occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,gincome
40,Private,121772,Bachelors,11,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,0,0,40,?,>50K
54,?,180211,Bachelors,10,Married-civ-spouse,?,Husband,Asian-Pac-Islander,Male,0,0,60,South,>50K
31,Private,84154,Bachelors,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,38,?,>50K
18,Private,226956,HS-grad,9,Never-married,Other-service,Own-child,White,Female,0,0,30,?,<=50K
32,?,293936,HS-grad,4,Married-spouse-absent,?,Not-in-family,White,Male,0,0,40,?,<=50K
25,?,200681,Bachelors,10,Never-married,?,Own-child,White,Male,0,0,40,US,<=50K
67,?,212759,HS-grad,6,Married-civ-spouse,?,Husband,White,Male,0,0,2,US,<=50K
30,Private,117747,HS-grad,9,Married-civ-spouse,Sales,Wife,Asian-Pac-Islander,Female,0,1573,35,?,<=50K
17,?,304873,HS-grad,6,Never-married,?,Own-child,White,Female,34095,0,32,US,<=50K
35,?,129305,HS-grad,9,Married-civ-spouse,?,Husband,White,Male,0,0,40,US,<=50K
43,?,174662,Bachelors,10,Divorced,?,Not-in-family,White,Female,0,0,40,US,<=50K
52,?,252903,HS-grad,9,Divorced,?,Not-in-family,White,Male,0,0,45,US,>50K
68,?,38317,HS-grad,2,Divorced,?,Not-in-family,White,Female,0,0,20,US,<=50K
53,?,135105,Bachelors,13,Divorced,?,Not-in-family,White,Female,0,0,50,US,<=50K
19,?,170653,HS-grad,9,Never-married,?,Own-child,White,Male,0,0,40,Italy,<=50K
64,?,187656,HS-grad,2,Divorced,?,Not-in-family,White,Male,0,0,40,US,<=50K
60,?,24215,HS-grad,6,Divorced,?,Not-in-family,Amer-Indian-Eskimo,Female,0,0,10,US,<=50K
20,?,119156,Bachelors,10,Never-married,?,Own-child,White,Male,0,0,20,US,<=50K
56,Private,203580,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,35,?,<=50K
45,Private,153141,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,?,<=50K
19,?,218956,Bachelors,10,Never-married,?,Own-child,White,Male,0,0,24,Canada,<=50K
39,?,157443,Masters,14,Married-civ-spouse,?,Wife,Asian-Pac-Islander,Female,3464,0,40,?,<=50K
19,?,860348,Bachelors,10,Never-married,?,Own-child,Black,Female,0,0,25,US,<=50K
23,?,211601,Bachelors,11,Never-married,?,Own-child,Black,Female,0,0,15,US,<=50K
67,?,36135,HS-grad,7,Married-civ-spouse,?,Husband,White,Male,0,0,8,US,<=50K
30,?,151989,Bachelors,11,Divorced,?,Unmarried,White,Female,0,0,40,US,<=50K
59,?,372020,Bachelors,13,Married-civ-spouse,?,Husband,White,Male,0,0,40,US,>50K
34,Government,98101,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,7688,0,45,?,>50K
20,?,137300,HS-grad,9,Never-married,?,Other-relative,White,Female,0,0,35,US,<=50K
28,?,123147,Bachelors,10,Married-civ-spouse,?,Wife,White,Female,0,1887,40,US,>50K
80,?,107762,HS-grad,9,Widowed,?,Not-in-family,White,Male,0,0,24,US,<=50K
17,?,202521,HS-grad,7,Never-married,?,Own-child,White,Male,0,0,40,US,<=50K
17,?,258872,HS-grad,7,Never-married,?,Own-child,White,Female,0,0,5,US,<=50K
42,Private,197583,Bachelors,12,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,0,40,?,>50K
32,?,115745,Bachelors,10,Married-civ-spouse,?,Husband,White,Male,0,0,40,US,<=50K
22,?,139883,Bachelors,10,Never-married,?,Own-child,White,Male,0,0,40,US,<=50K
52,?,271749,HS-grad,8,Never-married,?,Other-relative,Black,Male,594,0,40,US,<=50K
63,?,401531,HS-grad,2,Married-civ-spouse,?,Husband,White,Male,0,0,35,US,<=50K
72,?,303588,HS-grad,9,Married-civ-spouse,?,Husband,White,Male,0,0,20,US,<=50K
53,?,251804,HS-grad,3,Widowed,?,Unmarried,Black,Female,0,0,30,US,<=50K
57,?,222216,Bachelors,11,Widowed,?,Unmarried,White,Female,0,0,38,US,<=50K
20,?,214635,Bachelors,10,Never-married,?,Own-child,White,Male,0,0,24,US,<=50K
21,?,204226,Bachelors,10,Never-married,?,Unmarried,White,Female,0,0,35,US,<=50K
34,?,190027,HS-grad,9,Never-married,?,Unmarried,Black,Female,0,0,40,US,<=50K
31,Private,323069,HS-grad,9,Separated,Adm-clerical,Unmarried,White,Female,0,0,20,?,<=50K
18,?,165532,HS-grad,8,Never-married,?,Own-child,White,Male,0,0,25,US,<=50K
65,?,195733,Bachelors,10,Married-civ-spouse,?,Husband,White,Male,0,0,30,US,>50K
42,?,137390,HS-grad,9,Married-civ-spouse,?,Husband,White,Male,0,0,40,US,<=50K
55,?,105138,HS-grad,9,Married-civ-spouse,?,Wife,Asian-Pac-Islander,Female,0,0,40,US,<=50K
23,?,99399,Bachelors,10,Never-married,?,Unmarried,Amer-Indian-Eskimo,Female,0,0,25,US,<=50K
58,?,158611,HS-grad,9,Married-civ-spouse,?,Husband,White,Male,0,0,50,US,<=50K
70,?,167358,HS-grad,5,Widowed,?,Unmarried,White,Female,1111,0,15,US,<=50K
20,?,114746,HS-grad,7,Married-spouse-absent,?,Own-child,Asian-Pac-Islander,Female,0,1762,40,South,<=50K
17,?,80077,HS-grad,7,Never-married,?,Own-child,White,Female,0,0,20,US,<=50K
66,?,149422,HS-grad,4,Never-married,?,Not-in-family,White,Male,0,0,4,US,<=50K
25,?,202480,Bachelors,12,Never-married,?,Other-relative,White,Male,0,0,45,US,<=50K
36,Private,271767,Bachelors,13,Separated,Prof-specialty,Not-in-family,White,Male,0,0,40,?,<=50K
43,Private,177937,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,?,>50K
65,self-employed,118474,HS-grad,7,Married-civ-spouse,Exec-managerial,Husband,White,Male,9386,0,59,?,>50K
45,?,51164,Bachelors,10,Married-civ-spouse,?,Wife,Black,Female,0,0,40,US,<=50K
34,Private,73585,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,?,<=50K
43,Government,146908,Bachelors,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,?,<=50K
59,?,192130,HS-grad,9,Married-civ-spouse,?,Husband,White,Male,0,0,16,US,<=50K
21,?,149704,HS-grad,9,Never-married,?,Not-in-family,White,Female,1055,0,40,US,<=50K
18,?,196061,Bachelors,10,Never-married,?,Own-child,White,Male,0,0,33,US,<=50K
50,?,23780,Masters,14,Married-spouse-absent,?,Other-relative,White,Male,0,0,40,US,<=50K
22,?,219941,Bachelors,10,Never-married,?,Own-child,Black,Male,0,0,40,US,<=50K
42,?,257780,HS-grad,7,Married-civ-spouse,?,Husband,White,Male,0,0,15,US,<=50K
72,?,28929,HS-grad,7,Widowed,?,Not-in-family,White,Female,0,0,24,US,<=50K
63,?,149698,Bachelors,10,Married-civ-spouse,?,Husband,White,Male,0,0,15,US,<=50K
33,self-employed,155781,Bachelors,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,60,?,<=50K
48,?,144397,Bachelors,10,Divorced,?,Unmarried,Black,Female,0,0,30,US,<=50K
27,?,90270,Bachelors,12,Married-civ-spouse,?,Own-child,Amer-Indian-Eskimo,Male,0,0,40,US,<=50K
64,?,29825,HS-grad,9,Married-civ-spouse,?,Husband,White,Male,0,0,5,US,<=50K
19,?,52114,Bachelors,10,Never-married,?,Own-child,White,Female,0,0,10,US,<=50K
41,Private,239683,HS-grad,6,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,30,?,<=50K
36,?,94954,Bachelors,11,Widowed,?,Not-in-family,White,Female,0,0,20,US,<=50K
23,?,184699,HS-grad,9,Never-married,?,Unmarried,Black,Female,0,0,40,US,<=50K
19,?,117201,HS-grad,9,Never-married,?,Own-child,White,Male,0,0,30,US,<=50K
30,Private,201624,Bachelors,13,Never-married,Prof-specialty,Not-in-family,Black,Male,0,0,45,?,<=50K
76,?,431192,HS-grad,4,Widowed,?,Not-in-family,White,Male,0,0,2,US,<=50K
19,?,241616,HS-grad,9,Never-married,?,Unmarried,White,Male,0,2001,40,US,<=50K
66,self-employed,150726,HS-grad,5,Married-civ-spouse,Exec-managerial,Husband,White,Male,1409,0,1,?,<=50K
34,?,164309,HS-grad,7,Married-civ-spouse,?,Wife,White,Female,0,0,8,US,<=50K
64,?,196288,Bachelors,12,Never-married,?,Not-in-family,White,Female,0,0,20,US,<=50K
19,?,80710,HS-grad,9,Never-married,?,Own-child,White,Female,0,0,40,US,<=50K
68,?,140282,HS-grad,4,Married-civ-spouse,?,Husband,White,Male,0,0,8,US,<=50K
60,self-employed,226355,Bachelors,11,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,2415,70,?,>50K
34,?,181934,HS-grad,9,Divorced,?,Not-in-family,White,Female,0,0,40,US,<=50K
42,?,184018,Bachelors,10,Divorced,?,Unmarried,White,Male,0,0,40,US,<=50K
24,?,35633,Bachelors,10,Never-married,?,Not-in-family,White,Male,0,0,40,?,<=50K
26,Private,227332,Bachelors,13,Never-married,Transport-moving,Unmarried,Asian-Pac-Islander,Male,0,0,40,?,<=50K
22,?,131573,Bachelors,10,Never-married,?,Own-child,White,Female,0,0,8,US,<=50K
58,?,169982,Bachelors,10,Married-civ-spouse,?,Husband,White,Male,0,0,40,US,>50K
50,?,146015,HS-grad,9,Married-civ-spouse,?,Husband,White,Male,0,0,40,US,>50K
51,?,165637,Masters,14,Married-civ-spouse,?,Husband,White,Male,0,0,40,US,<=50K
50,Private,75472,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,4386,0,40,?,<=50K
22,?,42004,Bachelors,10,Never-married,?,Own-child,White,Male,0,0,30,US,<=50K
63,?,150389,Bachelors,13,Widowed,?,Not-in-family,White,Female,0,0,40,US,>50K
33,?,163003,HS-grad,9,Divorced,?,Not-in-family,Asian-Pac-Islander,Female,0,0,41,China,<=50K
38,Private,22245,Masters,14,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,72,?,>50K
30,Private,283767,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,?,<=50K
69,?,195779,Bachelors,11,Widowed,?,Not-in-family,White,Female,0,0,1,US,<=50K
65,?,36039,HS-grad,9,Married-civ-spouse,?,Husband,White,Male,0,0,40,US,>50K
58,?,178660,HS-grad,8,Married-civ-spouse,?,Husband,White,Male,0,0,40,US,<=50K
20,?,244689,Bachelors,10,Never-married,?,Not-in-family,White,Female,0,0,25,US,<=50K
35,?,327120,Bachelors,12,Never-married,?,Not-in-family,White,Male,0,0,55,US,<=50K
17,?,138507,HS-grad,6,Never-married,?,Own-child,White,Male,0,0,20,US,<=50K
47,Private,256522,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,?,<=50K
17,?,145886,HS-grad,7,Never-married,?,Own-child,White,Female,0,0,30,US,<=50K
36,Private,153078,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,0,0,60,?,>50K
62,?,225652,HS-grad,4,Married-civ-spouse,?,Husband,White,Male,3411,0,50,US,<=50K
61,?,190997,HS-grad,9,Married-civ-spouse,?,Husband,White,Male,0,0,6,US,<=50K
19,?,194095,Bachelors,10,Never-married,?,Own-child,White,Male,0,0,40,US,<=50K
40,Government,289403,HS-grad,4,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,1887,40,?,>50K
42,?,51795,HS-grad,9,Divorced,?,Unmarried,Black,Female,0,0,32,US,<=50K
19,?,172582,Bachelors,10,Never-married,?,Own-child,White,Male,0,0,50,US,<=50K
18,?,169882,Bachelors,10,Never-married,?,Own-child,White,Female,594,0,15,US,<=50K
61,?,347089,HS-grad,9,Married-civ-spouse,?,Husband,White,Male,0,0,16,US,<=50K
17,?,333100,HS-grad,6,Never-married,?,Own-child,White,Male,1055,0,30,US,<=50K
76,?,211453,HS-grad,9,Widowed,?,Not-in-family,Black,Female,0,0,2,US,<=50K
60,?,290593,Masters,14,Married-civ-spouse,?,Husband,White,Male,0,0,40,US,<=50K
69,?,473040,HS-grad,3,Divorced,?,Not-in-family,White,Male,0,0,40,US,<=50K
62,Private,134768,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,7688,0,40,?,>50K
41,self-employed,195124,HS-grad,9,Never-married,Sales,Not-in-family,White,Male,0,0,50,?,<=50K
75,?,111177,Bachelors,13,Widowed,?,Not-in-family,White,Female,25124,0,16,US,>50K
20,?,174714,Bachelors,10,Never-married,?,Own-child,White,Male,0,0,16,US,<=50K
19,?,62534,Bachelors,13,Never-married,?,Own-child,Black,Female,0,0,40,Jamaica,<=50K
49,?,261059,HS-grad,6,Separated,?,Own-child,White,Male,2176,0,40,US,<=50K
72,?,213255,HS-grad,9,Widowed,?,Not-in-family,White,Female,0,0,8,US,<=50K
31,Private,169104,Bachelors,13,Never-married,Sales,Own-child,Asian-Pac-Islander,Male,0,0,40,?,<=50K
20,?,206671,Bachelors,10,Never-married,?,Own-child,White,Male,1055,0,50,US,<=50K
55,Private,98361,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,15024,0,50,?,>50K
35,?,451940,HS-grad,9,Never-married,?,Unmarried,Black,Female,0,0,40,US,<=50K
36,?,200904,Bachelors,12,Married-civ-spouse,?,Wife,Black,Female,0,0,21,Haiti,<=50K
26,?,211798,HS-grad,9,Separated,?,Unmarried,White,Female,0,0,40,US,<=50K
39,?,71701,HS-grad,9,Divorced,?,Unmarried,White,Female,0,0,40,US,<=50K
64,?,168340,HS-grad,9,Married-civ-spouse,?,Husband,White,Male,0,0,40,?,>50K
22,?,376277,Bachelors,10,Divorced,?,Not-in-family,White,Female,0,0,35,US,<=50K
32,?,158784,HS-grad,4,Widowed,?,Not-in-family,White,Female,0,0,40,US,<=50K
47,Government,168191,Bachelors,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,?,<=50K
45,Private,182655,Bachelors,13,Divorced,Other-service,Not-in-family,White,Male,0,0,45,?,>50K
51,?,167651,HS-grad,9,Married-civ-spouse,?,Husband,White,Male,0,0,40,US,<=50K
65,?,266081,HS-grad,9,Married-civ-spouse,?,Husband,White,Male,0,0,40,US,<=50K
17,?,158762,HS-grad,6,Never-married,?,Own-child,White,Female,0,0,20,US,<=50K
17,?,228373,HS-grad,6,Never-married,?,Own-child,White,Male,0,0,30,US,<=50K
52,Private,185407,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,?,<=50K
19,?,263338,Bachelors,10,Never-married,?,Own-child,White,Male,0,0,45,US,<=50K
21,?,163665,Bachelors,10,Never-married,?,Own-child,White,Female,0,0,40,US,<=50K
63,?,231777,Masters,14,Married-civ-spouse,?,Husband,White,Male,0,0,30,US,<=50K
60,?,386261,Bachelors,13,Married-spouse-absent,?,Unmarried,Black,Female,0,0,15,US,<=50K
23,?,22966,Bachelors,13,Never-married,?,Own-child,White,Male,0,0,35,US,<=50K
29,Private,149943,Bachelors,10,Never-married,Other-service,Not-in-family,Other,Male,0,1590,40,?,<=50K
21,?,124242,Bachelors,10,Never-married,?,Own-child,White,Female,0,0,40,US,<=50K
50,?,156008,HS-grad,7,Married-civ-spouse,?,Own-child,Black,Female,0,0,40,US,<=50K
31,?,672412,HS-grad,7,Separated,?,Not-in-family,Black,Male,0,0,40,US,<=50K
28,?,169631,Bachelors,12,Married-AF-spouse,?,Wife,White,Female,0,0,3,US,<=50K
19,Private,365640,HS-grad,9,Never-married,Priv-house-serv,Not-in-family,White,Female,0,0,45,?,<=50K
31,Private,170430,Masters,15,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,80,?,<=50K
23,?,154373,Bachelors,13,Never-married,?,Not-in-family,White,Female,0,0,50,US,<=50K
19,?,33487,Bachelors,10,Never-married,?,Other-relative,Amer-Indian-Eskimo,Female,0,0,40,US,<=50K
23,?,196816,HS-grad,9,Never-married,?,Not-in-family,White,Male,0,0,30,US,<=50K
20,?,376474,Bachelors,10,Never-married,?,Own-child,White,Male,0,0,32,US,<=50K
63,?,54851,HS-grad,9,Married-civ-spouse,?,Husband,White,Male,0,0,40,US,<=50K
28,?,308493,HS-grad,9,Married-civ-spouse,?,Wife,White,Female,0,0,17,Honduras,<=50K
29,?,410351,Bachelors,13,Never-married,?,Not-in-family,White,Male,0,0,40,US,<=50K
22,?,27937,Bachelors,10,Never-married,?,Own-child,White,Male,0,0,36,US,<=50K
61,self-employed,115023,Masters,14,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,4,?,<=50K
35,Private,163392,Bachelors,10,Married-civ-spouse,Transport-moving,Husband,Asian-Pac-Islander,Male,0,0,40,?,<=50K
17,?,103810,HS-grad,8,Never-married,?,Own-child,White,Male,0,0,40,US,<=50K
61,?,188172,Doctorate,16,Widowed,?,Not-in-family,White,Female,0,0,5,US,<=50K
20,?,81853,Bachelors,10,Never-married,?,Own-child,Asian-Pac-Islander,Female,0,0,15,US,<=50K
21,?,300812,Bachelors,10,Never-married,?,Own-child,White,Male,0,0,30,US,<=50K
66,?,117778,HS-grad,7,Married-civ-spouse,?,Husband,White,Male,0,0,40,US,<=50K
61,?,113544,Bachelors,13,Married-civ-spouse,?,Husband,White,Male,0,0,55,US,<=50K
47,?,331650,HS-grad,9,Married-civ-spouse,?,Wife,White,Female,0,0,8,US,>50K
34,Private,244147,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,?,>50K
39,?,179352,Bachelors,10,Divorced,?,Not-in-family,White,Female,0,0,35,US,<=50K
60,?,131852,HS-grad,3,Married-civ-spouse,?,Husband,White,Male,0,0,30,US,>50K
20,?,96862,Bachelors,10,Never-married,?,Own-child,White,Female,0,0,8,US,<=50K
18,?,120243,HS-grad,7,Never-married,?,Own-child,White,Male,0,0,27,US,<=50K
18,?,346382,HS-grad,7,Never-married,?,Own-child,White,Male,0,0,15,US,<=50K
23,?,243190,Bachelors,10,Never-married,?,Own-child,Asian-Pac-Islander,Male,0,0,20,China,<=50K
25,?,41107,Bachelors,13,Married-spouse-absent,?,Not-in-family,White,Male,0,0,40,Canada,<=50K
27,?,253873,Bachelors,10,Divorced,?,Not-in-family,White,Female,0,0,25,US,<=50K
22,?,217421,Bachelors,10,Never-married,?,Own-child,White,Female,0,0,30,US,<=50K
22,?,196943,Bachelors,10,Separated,?,Own-child,White,Male,0,0,25,US,<=50K
67,?,184506,HS-grad,7,Married-civ-spouse,?,Husband,White,Male,0,419,3,US,<=50K
20,?,121313,HS-grad,6,Never-married,?,Own-child,White,Male,0,0,40,US,<=50K
61,Government,192060,Bachelors,13,Separated,Prof-specialty,Not-in-family,White,Male,0,0,30,?,<=50K
74,?,340939,HS-grad,5,Married-civ-spouse,?,Husband,White,Male,3471,0,40,US,<=50K
23,?,148751,Bachelors,10,Never-married,?,Not-in-family,White,Female,0,0,35,US,<=50K
39,?,103986,HS-grad,9,Never-married,?,Not-in-family,White,Male,0,1590,40,US,<=50K
21,?,79728,Bachelors,10,Never-married,?,Own-child,White,Female,0,0,40,US,<=50K
66,?,177351,Bachelors,13,Married-civ-spouse,?,Husband,White,Male,0,2174,40,US,>50K
20,?,287681,Bachelors,10,Never-married,?,Own-child,White,Male,0,0,36,US,<=50K
69,?,183958,HS-grad,9,Married-civ-spouse,?,Husband,White,Male,0,0,8,US,<=50K
21,?,219835,Bachelors,11,Never-married,?,Not-in-family,White,Male,0,0,40,US,<=50K
75,?,164849,HS-grad,5,Married-civ-spouse,?,Husband,Black,Male,1409,0,5,US,<=50K
76,?,152802,Bachelors,10,Married-civ-spouse,?,Husband,White,Male,0,0,8,US,<=50K
19,?,356717,Bachelors,10,Never-married,?,Own-child,White,Female,0,0,25,US,<=50K
19,?,143867,Bachelors,10,Never-married,?,Own-child,White,Male,0,0,40,US,<=50K
47,Private,277545,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,Asian-Pac-Islander,Male,0,0,40,?,>50K
47,?,174525,HS-grad,9,Married-civ-spouse,?,Husband,White,Male,3942,0,40,?,<=50K
28,Private,173649,HS-grad,9,Never-married,Other-service,Own-child,Black,Female,0,0,40,?,<=50K
54,?,169785,Masters,14,Never-married,?,Not-in-family,White,Female,0,0,40,US,<=50K
19,?,192773,Bachelors,10,Never-married,?,Own-child,White,Female,0,0,35,US,<=50K
43,Private,57600,Doctorate,16,Married-spouse-absent,Prof-specialty,Not-in-family,White,Female,0,0,40,?,<=50K
53,?,181317,HS-grad,9,Married-civ-spouse,?,Husband,White,Male,0,0,40,US,<=50K
54,?,124993,HS-grad,9,Married-civ-spouse,?,Husband,White,Male,0,0,40,US,>50K
21,?,148509,Bachelors,10,Never-married,?,Not-in-family,White,Female,0,0,30,US,<=50K
34,Private,230246,HS-grad,5,Separated,Craft-repair,Not-in-family,White,Male,0,0,40,?,<=50K
67,?,45537,Masters,14,Married-civ-spouse,?,Husband,Black,Male,0,0,40,US,>50K
26,?,152046,HS-grad,7,Never-married,?,Not-in-family,White,Female,0,0,35,Germany,<=50K
36,Private,153205,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,0,45,?,<=50K
33,Private,180656,Bachelors,10,Married-spouse-absent,Craft-repair,Not-in-family,White,Male,0,0,40,?,<=50K
67,?,150516,HS-grad,9,Widowed,?,Unmarried,White,Male,0,0,3,US,<=50K
21,?,34443,Bachelors,10,Never-married,?,Own-child,White,Male,0,0,50,US,<=50K
40,?,70645,Bachelors,10,Married-civ-spouse,?,Wife,White,Female,0,0,20,US,<=50K
66,?,112871,HS-grad,7,Never-married,?,Not-in-family,White,Male,0,0,30,US,<=50K
52,?,159755,Bachelors,11,Married-civ-spouse,?,Husband,White,Male,0,0,50,US,>50K
28,Private,128509,HS-grad,3,Never-married,Machine-op-inspct,Not-in-family,White,Female,0,0,40,?,<=50K
18,?,423460,HS-grad,7,Never-married,?,Own-child,White,Male,0,0,36,US,<=50K
62,?,139391,Bachelors,10,Married-civ-spouse,?,Husband,White,Male,0,0,24,US,<=50K
22,?,216563,HS-grad,9,Never-married,?,Other-relative,White,Female,0,0,40,US,<=50K
42,Private,153132,Bachelors,13,Divorced,Sales,Unmarried,White,Male,0,0,45,?,<=50K
26,Private,225279,Bachelors,10,Never-married,Prof-specialty,Not-in-family,White,Male,0,1602,40,?,<=50K
55,?,205527,HS-grad,9,Divorced,?,Not-in-family,White,Male,0,0,20,US,<=50K
56,?,656036,HS-grad,9,Married-civ-spouse,?,Husband,White,Male,0,0,25,US,<=50K
34,?,346762,HS-grad,7,Divorced,?,Own-child,White,Male,0,0,84,US,<=50K
49,Government,133917,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,Black,Male,0,1902,60,?,>50K
28,Private,192200,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,?,<=50K
26,?,188343,HS-grad,9,Never-married,?,Unmarried,Black,Female,0,0,40,US,<=50K
46,?,162034,HS-grad,9,Married-civ-spouse,?,Husband,White,Male,0,0,40,US,<=50K
28,?,157813,HS-grad,7,Divorced,?,Unmarried,White,Female,0,0,58,Canada,<=50K
17,?,179715,HS-grad,6,Never-married,?,Own-child,White,Male,0,0,40,US,<=50K
65,?,327154,HS-grad,9,Widowed,?,Unmarried,White,Female,0,0,40,US,<=50K
