Age,workclass,fnlwgt,education,education-num,marital-status,Occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,gincome
52,self-employed,209642,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,US,>50K
31,Private,45781,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,14084,0,50,US,>50K
42,Private,159449,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,5178,0,40,US,>50K
37,Private,280464,Bachelors,10,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,0,80,US,>50K
30,Government,141297,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,0,40,India,>50K
43,self-employed,292175,Masters,14,Divorced,Exec-managerial,Unmarried,White,Female,0,0,45,US,>50K
40,Private,193524,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,60,US,>50K
56,Government,216851,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,US,>50K
57,Government,337895,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Black,Male,0,0,40,US,>50K
47,Private,51835,Masters,15,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,1902,60,Honduras,>50K
50,Government,251585,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,55,US,>50K
43,Private,237993,Bachelors,10,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,US,>50K
42,Private,116632,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,45,US,>50K
53,Private,169846,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,US,>50K
49,self-employed,191681,Bachelors,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,US,>50K
29,self-employed,162298,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,70,US,>50K
44,Private,343591,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Female,14344,0,40,US,>50K
49,Government,268234,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,US,>50K
43,Government,410867,Doctorate,16,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,50,US,>50K
34,Government,226296,Bachelors,13,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,US,>50K
48,self-employed,191277,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1902,60,US,>50K
37,Private,202683,Bachelors,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,48,US,>50K
76,Private,124191,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,US,>50K
44,Private,198282,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,60,US,>50K
32,self-employed,317660,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,7688,0,40,US,>50K
38,Private,65324,Masters,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,US,>50K
56,self-employed,335605,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0,1887,50,Canada,>50K
49,Government,197371,Bachelors,11,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,40,US,>50K
29,Government,267989,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,US,>50K
47,Private,287828,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,40,US,>50K
31,Private,114937,Bachelors,12,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,US,>50K
38,Government,125933,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,Iran,>50K
49,Private,81973,Bachelors,10,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,0,0,40,US,>50K
45,Private,196584,Bachelors,11,Never-married,Prof-specialty,Not-in-family,White,Female,0,1564,40,US,>50K
45,self-employed,201080,Masters,14,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,US,>50K
51,Private,96062,Bachelors,10,Married-civ-spouse,Sales,Husband,White,Male,0,1977,40,US,>50K
28,Government,149624,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,US,>50K
44,Government,181344,Bachelors,10,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,0,38,US,>50K
40,Private,286370,HS-grad,4,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,Mexico,>50K
37,Government,29054,Bachelors,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,42,US,>50K
58,Government,109567,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,1,US,>50K
40,Government,56795,Masters,14,Never-married,Exec-managerial,Not-in-family,White,Female,14084,0,55,US,>50K
35,Private,138992,Masters,14,Married-civ-spouse,Prof-specialty,Other-relative,White,Male,7298,0,40,US,>50K
51,Private,259323,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,US,>50K
36,Private,128757,Bachelors,13,Married-civ-spouse,Other-service,Husband,Black,Male,7298,0,36,US,>50K
58,self-employed,210563,HS-grad,9,Married-civ-spouse,Sales,Wife,White,Female,15024,0,35,US,>50K
37,Private,208358,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,US,>50K
54,self-employed,125417,HS-grad,4,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,US,>50K
37,Private,635913,Bachelors,13,Never-married,Exec-managerial,Not-in-family,Black,Male,0,0,60,US,>50K
28,Private,76714,Masters,15,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,55,US,>50K
41,Private,180138,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,Iran,>50K
38,Government,115076,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,70,US,>50K
40,Private,347890,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,US,>50K
58,Private,236596,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,45,US,>50K
40,Private,207578,Bachelors,12,Married-civ-spouse,Tech-support,Husband,White,Male,0,1977,60,US,>50K
41,Private,112763,Masters,15,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,40,US,>50K
42,self-employed,303044,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,Asian-Pac-Islander,Male,0,0,40,Cambodia,>50K
37,self-employed,257295,Bachelors,10,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,0,0,75,Thailand,>50K
64,Private,21174,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,US,>50K
33,Private,222205,HS-grad,9,Married-civ-spouse,Craft-repair,Wife,White,Female,0,0,40,US,>50K
61,Private,69867,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,US,>50K
44,Private,170924,Bachelors,10,Married-civ-spouse,Craft-repair,Husband,White,Male,7298,0,40,US,>50K
24,Private,279472,Bachelors,10,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,7298,0,48,US,>50K
42,Government,97688,Bachelors,10,Married-civ-spouse,Craft-repair,Husband,White,Male,5178,0,40,US,>50K
57,Government,425161,Masters,14,Married-civ-spouse,Sales,Husband,White,Male,15024,0,40,US,>50K
41,Private,220531,Masters,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,60,US,>50K
48,Private,146268,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,7688,0,40,US,>50K
31,Private,217460,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,45,US,>50K
55,Private,238638,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,4386,0,40,US,>50K
35,Private,193815,Bachelors,12,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,US,>50K
41,self-employed,34987,Bachelors,10,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,54,US,>50K
34,Private,142897,Masters,14,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,7298,0,35,Taiwan,>50K
36,self-employed,205607,Bachelors,13,Divorced,Prof-specialty,Not-in-family,Black,Female,0,0,40,US,>50K
43,Private,187728,Bachelors,10,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,1887,50,US,>50K
38,Private,296478,Bachelors,11,Married-civ-spouse,Craft-repair,Husband,White,Male,7298,0,40,US,>50K
36,Government,119272,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,7298,0,40,US,>50K
33,Private,117963,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,US,>50K
33,Private,111363,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,US,>50K
38,Government,95432,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,US,>50K
40,Private,96129,Bachelors,11,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,US,>50K
62,Private,270092,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,US,>50K
43,Private,174575,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Male,0,1564,45,US,>50K
